0.5		-83.8597765764
0.55	-88.4458559778
0.6		-91.9237198697
0.65	-94.6154179424
0.7		-96.7960198298
0.75	-98.6711691294
0.8		-100.3001326292
0.85	-101.7230786964
0.9		-102.9530065353
0.95	-104.0069054578
1.		-104.904606436
1.05	-105.6661438096
1.1		-106.3101304403
1.15	-106.8533209372
1.2		-107.3104691466
1.25	-107.6943823016
1.3		-108.0160730502
1.35	-108.2849519555
1.4		-108.509029133
1.45	-108.6951075938
1.5		-108.8489594024
1.55	-108.9754813522
1.6		-109.0788295652
1.65	-109.162534337
1.7		-109.229597281
1.75	-109.2825731179
1.8		-109.3236384217
1.85	-109.3546493797
1.9		-109.3771903644
1.95	-109.3926148057
2.		-109.4020796245
2.05	-109.4065742632
2.1		-109.4069451922
2.15	-109.4039166189
2.2		-109.3981080105
2.25	-109.3900489505
2.3		-109.3801917482
2.35	-109.3689222018
2.4		-109.3565687916
2.45	-109.3434105981
2.5		-109.3296841055
2.6		-109.3012942504
2.65	-109.2869408366
2.7		-109.2726476072
2.75	-109.2585138992
2.8		-109.2446228602
2.85	-109.2310442183
2.9		-109.2178367356
2.95	-109.2050503708
3.05	-109.1809081837
3.1		-109.1696245273
3.15	-109.1589092202
3.2		-109.1487931957
3.25	-109.1393075523
3.3		-109.1304846061
3.35	-109.1223589925
3.4		-109.1149687783
3.45	-109.1083565596
3.5		-109.1025705946
3.55	-109.0976660647
3.6		-109.0937063504
3.65	-109.0907642765
3.7		-109.0889232692
3.75	-109.0882781064
3.8		-109.0889354058
3.85	-109.0910124278
3.9		-109.0946346294
3.95	-109.0999295953
4.		-109.1070183007
4.05	-109.1159998707
4.1		-109.1269344995
4.15	-109.1398224956
4.2		-109.1545872858
4.25	-109.17106703
4.3		-109.1890196807
4.35	-109.2081444928
4.4		-109.2281102394
4.45	-109.248587996
4.5		-109.2692763159
